suite,run_id_safe,bench,gc_flag,rep,wall_s,energy_total_j,energy_pkg_j,energy_dram_j,energy_pp0_j,energy_pp1_j,cpu_pct_avg,rss_mb_avg,throughput_iter_per_s,gc_pause_ms_avg
ant,ant_run_6_ffb31cd5,run,-XX:+UseSerialGC,6,15.42,260.999329,260.994202,0.0,0.002563,0.002563,,4056.754,0.064851,0.0
ant,ant_run_7_955ecf1d,run,-XX:+UseSerialGC,7,15.45,258.923645,258.923645,0.0,0.0,0.0,,4056.992,0.064725,0.0
ant,ant_run_8_8a375d05,run,-XX:+UseSerialGC,8,15.44,261.650391,261.650391,0.0,0.0,0.0,,4056.156,0.064767,0.0
ant,ant_run_9_7c70a659,run,-XX:+UseSerialGC,9,15.41,261.687744,261.685059,0.0,0.001343,0.001343,,4056.93,0.064893,0.0
ant,ant_run_10_3fb1fe33,run,-XX:+UseSerialGC,10,15.4,260.314026,260.314026,0.0,0.0,0.0,,4056.617,0.064935,0.0
ant,ant_run_1_7e936707,run,-XX:+UseParallelGC,1,15.44,233.660095,233.650696,0.0,0.0047,0.0047,,4057.012,0.064767,0.0
ant,ant_run_2_dae60c84,run,-XX:+UseParallelGC,2,15.42,284.630127,284.269409,0.0,0.180359,0.180359,,4056.375,0.064851,0.0
ant,ant_run_3_871b04fb,run,-XX:+UseParallelGC,3,15.42,247.476196,247.476196,0.0,0.0,0.0,,4056.664,0.064851,0.0
ant,ant_run_4_f6f2e19a,run,-XX:+UseParallelGC,4,15.41,261.19751,261.180054,0.0,0.008728,0.008728,,4056.684,0.064893,0.0
ant,ant_run_5_7b7af3d7,run,-XX:+UseParallelGC,5,15.41,251.560852,251.559631,0.0,0.00061,0.00061,,4056.688,0.064893,0.0
ant,ant_run_6_06366400,run,-XX:+UseParallelGC,6,15.42,262.401245,262.394287,0.0,0.003479,0.003479,,4056.535,0.064851,0.0
ant,ant_run_7_a45dc4d0,run,-XX:+UseParallelGC,7,15.4,260.635437,260.635437,0.0,0.0,0.0,,4056.434,0.064935,0.0
ant,ant_run_8_a1be81b6,run,-XX:+UseParallelGC,8,15.41,261.309265,261.302917,0.0,0.003174,0.003174,,4056.883,0.064893,0.0
ant,ant_run_9_05c5f1d7,run,-XX:+UseParallelGC,9,15.41,262.186035,262.186035,0.0,0.0,0.0,,4056.609,0.064893,0.0
ant,ant_run_10_15982a9e,run,-XX:+UseParallelGC,10,15.42,256.26001,256.26001,0.0,0.0,0.0,,4056.926,0.064851,0.0
ant,ant_run_1_ee723310,run,-XX:+UseG1GC,1,15.47,230.487061,230.470215,0.0,0.008423,0.008423,,4056.625,0.064641,0.0
ant,ant_run_2_a1790b72,run,-XX:+UseG1GC,2,15.42,260.912231,260.896118,0.0,0.008057,0.008057,,4056.215,0.064851,0.0
ant,ant_run_3_aee0f1e5,run,-XX:+UseG1GC,3,15.41,261.776611,261.772217,0.0,0.002197,0.002197,,4056.574,0.064893,0.0
ant,ant_run_4_c7c0f574,run,-XX:+UseG1GC,4,15.41,259.943481,259.943481,0.0,0.0,0.0,,4056.734,0.064893,0.0
ant,ant_run_5_db2c7a14,run,-XX:+UseG1GC,5,15.43,262.499268,262.199585,0.0,0.149841,0.149841,,4056.656,0.064809,0.0
ant,ant_run_6_cfe00b08,run,-XX:+UseG1GC,6,15.41,259.546204,259.520691,0.0,0.012756,0.012756,,4056.742,0.064893,0.0
ant,ant_run_7_cd69c481,run,-XX:+UseG1GC,7,15.41,262.274292,262.274292,0.0,0.0,0.0,,4057.129,0.064893,0.0
ant,ant_run_8_4d80936e,run,-XX:+UseG1GC,8,15.4,262.026306,262.019592,0.0,0.003357,0.003357,,4056.926,0.064935,0.0
ant,ant_run_9_338fc195,run,-XX:+UseG1GC,9,15.41,260.700256,260.700256,0.0,0.0,0.0,,4057.074,0.064893,0.0
ant,ant_run_10_f192b785,run,-XX:+UseG1GC,10,15.42,259.48584,259.479858,0.0,0.002991,0.002991,,4056.621,0.064851,0.0
ant,ant_run_1_64ff7876,run,-XX:+UseZGC,1,15.42,231.297119,231.286255,0.0,0.005432,0.005432,,4056.43,0.064851,0.0
ant,ant_run_2_8510af30,run,-XX:+UseZGC,2,15.41,261.487671,261.487671,0.0,0.0,0.0,,4057.059,0.064893,0.0
ant,ant_run_3_dd4547cf,run,-XX:+UseZGC,3,15.43,261.022217,261.017944,0.0,0.002136,0.002136,,4056.781,0.064809,0.0
